iter	Passed	Remaining
0	72	72563
1	73	36540
2	73	24515
3	74	18500
4	74	14911
5	75	12510
6	76	10804
7	76	9511
8	77	8503
9	77	7702
10	78	7054
11	79	6504
12	79	6038
13	80	5638
14	80	5292
15	81	4988
16	81	4720
17	82	4489
18	82	4277
19	83	4085
20	83	3911
21	84	3753
22	84	3608
23	85	3476
24	85	3352
25	86	3236
26	86	3130
27	87	3030
28	87	2937
29	88	2851
30	88	2770
31	89	2694
32	89	2627
33	90	2564
34	90	2504
35	91	2445
36	91	2390
37	92	2338
38	92	2287
39	93	2239
40	93	2193
41	94	2149
42	94	2107
43	95	2067
44	95	2029
45	96	1992
46	96	1957
47	97	1925
48	97	1892
49	97	1861
50	98	1831
51	98	1802
52	99	1777
53	100	1751
54	100	1727
55	101	1702
56	101	1679
57	101	1656
58	102	1633
59	102	1612
60	103	1591
61	103	1571
62	104	1552
63	104	1533
64	105	1515
65	105	1496
66	106	1479
67	106	1460
68	107	1445
69	107	1429
70	108	1413
71	108	1398
72	108	1383
73	109	1368
74	109	1354
75	110	1340
76	110	1327
77	111	1314
78	111	1301
79	112	1289
80	112	1277
81	113	1265
82	113	1255
83	114	1245
84	114	1233
85	115	1223
86	115	1211
87	116	1202
88	116	1192
89	116	1182
90	117	1172
91	117	1163
92	118	1154
93	118	1146
94	119	1138
95	119	1129
96	120	1122
97	120	1113
98	121	1105
99	121	1097
100	122	1089
101	122	1079
102	123	1071
103	123	1064
104	123	1056
105	124	1049
106	124	1042
107	125	1034
108	125	1028
109	126	1022
110	126	1015
111	127	1009
112	127	1003
113	128	997
114	128	990
115	129	984
116	129	977
117	130	972
118	130	965
119	130	959
120	131	953
121	131	948
122	132	941
123	132	935
124	132	930
125	133	925
126	134	922
127	134	917
128	135	913
129	135	908
130	136	903
131	136	899
132	137	894
133	137	889
134	138	884
135	138	880
136	139	875
137	139	870
138	139	866
139	140	861
140	140	857
141	141	854
142	141	850
143	142	846
144	142	842
145	143	838
146	143	834
147	144	830
148	144	826
149	145	822
150	145	818
151	146	814
152	146	811
153	147	807
154	147	804
155	147	800
156	148	797
157	149	794
158	149	790
159	149	787
160	150	783
161	150	780
162	151	776
163	151	773
164	152	770
165	152	767
166	153	763
167	153	760
168	154	757
169	154	754
170	155	751
171	155	748
172	156	745
173	156	742
174	156	739
175	157	736
176	157	733
177	158	730
178	158	728
179	159	725
180	159	721
181	159	718
182	160	715
183	160	713
184	161	710
185	161	708
186	162	705
187	162	703
188	163	700
189	163	697
190	164	695
191	164	692
192	165	690
193	165	687
194	165	685
195	166	682
196	166	680
197	167	677
198	167	675
199	168	673
200	168	670
201	169	668
202	169	665
203	170	663
204	170	661
205	171	659
206	171	657
207	171	654
208	172	652
209	172	650
210	173	648
211	173	645
212	174	643
213	174	641
214	175	639
215	175	637
216	176	635
217	176	633
218	176	630
219	177	629
220	177	627
221	178	624
222	178	622
223	179	620
224	179	618
225	180	616
226	180	614
227	181	612
228	181	610
229	181	609
230	182	607
231	182	605
232	183	603
233	183	601
234	184	600
235	185	599
236	185	597
237	186	596
238	186	594
239	187	592
240	187	590
241	187	588
242	188	587
243	188	585
244	189	583
245	189	581
246	190	580
247	190	578
248	191	576
249	191	574
250	192	573
251	192	571
252	193	570
253	193	568
254	194	566
255	194	565
256	194	563
257	195	561
258	195	560
259	196	558
260	196	557
261	197	555
262	197	554
263	198	552
264	198	550
265	199	549
266	199	547
267	200	546
268	200	544
269	200	543
270	201	541
271	201	540
272	202	538
273	202	537
274	203	535
275	203	534
276	204	532
277	204	531
278	204	529
279	205	528
280	205	526
281	206	525
282	206	524
283	207	522
284	207	521
285	208	519
286	208	518
287	209	517
288	209	515
289	210	514
290	210	512
291	210	511
292	211	510
293	211	508
294	212	507
295	212	506
296	213	504
297	213	503
298	214	502
299	214	501
300	215	499
301	215	498
302	216	497
303	216	495
304	217	494
305	217	493
306	217	491
307	218	490
308	218	489
309	219	488
310	219	486
311	220	485
312	220	484
313	221	483
314	221	481
315	222	480
316	222	479
317	222	478
318	223	476
319	223	475
320	224	474
321	224	473
322	225	472
323	225	470
324	226	469
325	226	468
326	227	467
327	227	466
328	228	465
329	228	463
330	228	462
331	229	461
332	229	460
333	230	459
334	230	458
335	231	456
336	231	455
337	232	454
338	232	453
339	233	452
340	233	451
341	233	450
342	234	448
343	234	447
344	235	446
345	235	445
346	236	444
347	236	443
348	237	442
349	237	441
350	238	440
351	238	438
352	239	438
353	239	437
354	239	436
355	240	434
356	240	433
357	241	432
358	241	431
359	242	430
360	242	429
361	243	428
362	243	427
363	244	426
364	244	425
365	245	424
366	245	423
367	245	422
368	246	421
369	246	420
370	247	419
371	247	418
372	248	417
373	248	416
374	249	415
375	249	414
376	250	413
377	250	412
378	251	411
379	251	410
380	251	409
381	252	408
382	252	407
383	253	406
384	253	405
385	254	404
386	254	403
387	255	402
388	255	401
389	256	400
390	256	399
391	257	398
392	257	397
393	258	397
394	258	396
395	259	395
396	259	394
397	260	393
398	260	392
399	260	391
400	261	390
401	261	389
402	262	388
403	262	387
404	263	386
405	263	385
406	264	384
407	264	383
408	265	382
409	265	382
410	265	381
411	266	380
412	266	379
413	267	378
414	267	377
415	268	376
416	268	375
417	269	375
418	269	374
419	270	373
420	270	372
421	271	371
422	271	370
423	272	369
424	272	368
425	273	367
426	273	367
427	273	366
428	274	365
429	274	364
430	275	363
431	275	362
432	276	361
433	276	360
434	277	360
435	277	359
436	278	358
437	278	357
438	279	356
439	279	355
440	279	354
441	280	354
442	280	353
443	281	352
444	281	351
445	282	350
446	282	349
447	283	348
448	283	348
449	284	347
450	284	346
451	285	345
452	285	344
453	285	343
454	286	343
455	286	342
456	287	341
457	287	340
458	288	339
459	288	339
460	289	338
461	289	337
462	290	336
463	290	335
464	291	334
465	291	334
466	291	333
467	292	332
468	292	331
469	293	330
470	293	329
471	294	329
472	294	328
473	295	327
474	295	326
475	296	326
476	296	325
477	297	324
478	297	323
479	297	322
480	298	321
481	298	321
482	299	320
483	299	319
484	300	318
485	300	318
486	301	317
487	301	316
488	302	315
489	302	314
490	303	314
491	303	313
492	303	312
493	304	311
494	304	310
495	305	310
496	305	309
497	306	308
498	306	307
499	307	307
500	307	306
501	307	305
502	308	304
503	308	303
504	309	303
505	309	302
506	310	301
507	311	301
508	311	300
509	312	299
510	312	299
511	313	298
512	313	297
513	314	297
514	314	296
515	315	295
516	315	294
517	315	294
518	316	293
519	316	292
520	317	291
521	317	291
522	318	290
523	318	289
524	319	288
525	319	288
526	320	287
527	320	286
528	321	285
529	321	285
530	321	284
531	322	283
532	322	282
533	323	282
534	323	281
535	324	280
536	324	279
537	325	279
538	325	278
539	326	277
540	326	277
541	327	276
542	327	275
543	327	274
544	328	274
545	328	273
546	329	272
547	329	272
548	330	271
549	330	270
550	331	269
551	331	269
552	332	268
553	332	267
554	333	267
555	333	266
556	334	265
557	334	264
558	334	264
559	335	263
560	335	262
561	336	262
562	336	261
563	337	260
564	337	259
565	338	259
566	338	258
567	339	257
568	339	257
569	339	256
570	340	255
571	340	255
572	341	254
573	341	253
574	342	252
575	342	252
576	343	251
577	343	251
578	344	250
579	344	249
580	345	249
581	345	248
582	346	247
583	346	246
584	347	246
585	347	245
586	348	244
587	348	244
588	348	243
589	349	242
590	349	242
591	350	241
592	350	240
593	351	240
594	351	239
595	352	238
596	352	238
597	353	237
598	353	236
599	354	236
600	354	235
601	355	234
602	355	234
603	356	233
604	356	232
605	357	232
606	357	231
607	357	230
608	358	230
609	358	229
610	359	228
611	359	228
612	360	227
613	360	226
614	361	226
615	361	225
616	362	224
617	362	224
618	363	223
619	363	222
620	364	222
621	364	221
622	365	220
623	365	220
624	365	219
625	366	218
626	366	218
627	367	217
628	367	216
629	368	216
630	368	215
631	369	215
632	369	214
633	370	213
634	370	213
635	371	212
636	371	211
637	371	211
638	372	210
639	372	209
640	373	209
641	373	208
642	374	207
643	374	207
644	375	206
645	375	205
646	376	205
647	376	204
648	377	204
649	377	203
650	378	202
651	378	202
652	379	201
653	379	200
654	379	200
655	380	199
656	380	198
657	381	198
658	381	197
659	382	197
660	382	196
661	383	195
662	383	195
663	384	194
664	384	193
665	385	193
666	385	192
667	386	191
668	386	191
669	387	190
670	387	190
671	388	189
672	388	188
673	389	188
674	389	187
675	390	186
676	390	186
677	391	185
678	391	185
679	391	184
680	392	183
681	392	183
682	393	182
683	393	181
684	394	181
685	394	180
686	395	180
687	395	179
688	396	178
689	396	178
690	397	177
691	397	176
692	398	176
693	398	175
694	399	175
695	399	174
696	400	173
697	400	173
698	401	172
699	401	172
700	402	171
701	402	170
702	402	170
703	403	169
704	403	168
705	404	168
706	404	167
707	405	167
708	405	166
709	406	165
710	406	165
711	406	164
712	407	164
713	407	163
714	408	162
715	408	162
716	409	161
717	409	160
718	410	160
719	410	159
720	411	159
721	411	158
722	412	157
723	412	157
724	413	156
725	413	156
726	413	155
727	414	154
728	414	154
729	415	153
730	415	153
731	416	152
732	416	151
733	417	151
734	417	150
735	418	149
736	418	149
737	419	148
738	419	148
739	419	147
740	420	146
741	420	146
742	421	145
743	421	145
744	422	144
745	422	143
746	423	143
747	423	142
748	424	142
749	424	141
750	424	140
751	425	140
752	425	139
753	426	139
754	426	138
755	427	137
756	427	137
757	428	136
758	428	136
759	429	135
760	429	134
761	430	134
762	430	133
763	431	133
764	431	132
765	432	131
766	432	131
767	432	130
768	433	130
769	433	129
770	434	128
771	434	128
772	435	127
773	435	127
774	436	126
775	436	126
776	437	125
777	437	124
778	437	124
779	438	123
780	438	123
781	439	122
782	439	121
783	440	121
784	440	120
785	441	120
786	441	119
787	442	119
788	442	118
789	443	117
790	443	117
791	444	116
792	444	116
793	445	115
794	445	114
795	446	114
796	446	113
797	447	113
798	447	112
799	447	111
800	448	111
801	448	110
802	449	110
803	449	109
804	450	109
805	450	108
806	451	107
807	451	107
808	452	106
809	452	106
810	453	105
811	453	105
812	453	104
813	454	103
814	454	103
815	455	102
816	455	102
817	456	101
818	456	100
819	457	100
820	457	99
821	457	99
822	458	98
823	458	98
824	459	97
825	459	96
826	460	96
827	460	95
828	461	95
829	461	94
830	462	93
831	462	93
832	463	92
833	463	92
834	463	91
835	464	91
836	465	90
837	465	89
838	465	89
839	466	88
840	466	88
841	467	87
842	467	87
843	468	86
844	468	86
845	469	85
846	469	84
847	470	84
848	470	83
849	471	83
850	471	82
851	472	82
852	472	81
853	473	80
854	473	80
855	474	79
856	474	79
857	475	78
858	475	78
859	476	77
860	476	76
861	476	76
862	477	75
863	477	75
864	478	74
865	478	74
866	479	73
867	479	72
868	480	72
869	480	71
870	481	71
871	481	70
872	482	70
873	482	69
874	483	69
875	483	68
876	484	67
877	484	67
878	484	66
879	485	66
880	485	65
881	486	65
882	486	64
883	487	63
884	487	63
885	488	62
886	488	62
887	489	61
888	489	61
889	490	60
890	490	60
891	491	59
892	491	58
893	491	58
894	492	57
895	492	57
896	493	56
897	493	56
898	494	55
899	494	54
900	495	54
901	495	53
902	496	53
903	496	52
904	496	52
905	497	51
906	497	51
907	498	50
908	498	49
909	499	49
910	499	48
911	500	48
912	500	47
913	501	47
914	501	46
915	502	46
916	502	45
917	502	44
918	503	44
919	503	43
920	504	43
921	504	42
922	505	42
923	505	41
924	506	41
925	506	40
926	507	39
927	507	39
928	507	38
929	508	38
930	508	37
931	509	37
932	509	36
933	510	36
934	510	35
935	511	34
936	511	34
937	512	33
938	513	33
939	513	32
940	514	32
941	514	31
942	515	31
943	515	30
944	516	30
945	516	29
946	517	28
947	517	28
948	518	27
949	518	27
950	519	26
951	519	26
952	520	25
953	520	25
954	521	24
955	521	24
956	522	23
957	522	22
958	523	22
959	523	21
960	524	21
961	525	20
962	525	20
963	526	19
964	526	19
965	527	18
966	527	18
967	528	17
968	528	16
969	529	16
970	529	15
971	530	15
972	530	14
973	531	14
974	531	13
975	532	13
976	532	12
977	533	11
978	533	11
979	534	10
980	534	10
981	535	9
982	535	9
983	536	8
984	537	8
985	537	7
986	538	7
987	538	6
988	539	5
989	539	5
990	540	4
991	541	4
992	541	3
993	542	3
994	542	2
995	543	2
996	543	1
997	544	1
998	544	0
999	545	0
