iter	Passed	Remaining
0	99	99255
1	100	50000
2	100	33512
3	101	25262
4	103	20667
5	104	17301
6	105	14899
7	105	13107
8	106	11707
9	107	10597
10	107	9696
11	108	8942
12	109	8301
13	110	7748
14	110	7264
15	111	6834
16	111	6458
17	112	6123
18	113	5855
19	114	5586
20	114	5340
21	115	5116
22	115	4911
23	116	4721
24	116	4551
25	117	4415
26	118	4277
27	119	4142
28	119	4013
29	120	3895
30	121	3782
31	121	3675
32	122	3582
33	122	3493
34	123	3408
35	124	3335
36	125	3258
37	125	3185
38	126	3115
39	127	3051
40	127	2985
41	128	2923
42	128	2866
43	129	2809
44	129	2756
45	130	2704
46	130	2655
47	131	2615
48	132	2571
49	133	2529
50	133	2488
51	134	2449
52	134	2410
53	135	2374
54	136	2338
55	136	2307
56	137	2276
57	138	2245
58	139	2220
59	139	2190
60	140	2162
61	141	2134
62	141	2107
63	142	2083
64	143	2057
65	143	2031
66	144	2006
67	144	1981
68	145	1958
69	145	1934
70	146	1911
71	148	1917
72	149	1898
73	150	1878
74	150	1858
75	151	1839
76	151	1821
77	152	1804
78	153	1788
79	154	1772
80	154	1754
81	155	1738
82	155	1718
83	156	1702
84	156	1687
85	157	1672
86	157	1658
87	158	1643
88	159	1629
89	159	1614
90	160	1601
91	160	1586
92	161	1574
93	164	1585
94	165	1573
95	165	1561
96	166	1548
97	167	1538
98	168	1530
99	168	1519
100	169	1507
101	170	1496
102	170	1486
103	171	1474
104	171	1463
105	172	1452
106	172	1441
107	173	1430
108	173	1419
109	174	1408
110	174	1398
111	175	1390
112	176	1382
113	176	1372
114	177	1363
115	177	1354
116	178	1344
117	178	1337
118	179	1329
119	180	1320
120	180	1311
121	180	1302
122	181	1293
123	181	1284
124	182	1277
125	183	1270
126	183	1261
127	184	1254
128	184	1246
129	185	1238
130	185	1230
131	186	1223
132	186	1216
133	187	1208
134	187	1201
135	188	1194
136	188	1187
137	189	1180
138	189	1173
139	190	1169
140	191	1163
141	191	1156
142	192	1151
143	192	1147
144	193	1140
145	193	1134
146	194	1128
147	194	1122
148	195	1116
149	195	1110
150	196	1104
151	196	1098
152	197	1094
153	198	1088
154	198	1084
155	199	1079
156	200	1074
157	200	1069
158	201	1064
159	201	1059
160	202	1053
161	202	1048
162	203	1043
163	203	1038
164	204	1033
165	207	1044
166	208	1040
167	209	1036
168	209	1031
169	210	1027
170	210	1022
171	211	1017
172	212	1013
173	212	1009
174	213	1005
175	213	1001
176	214	996
177	214	992
178	215	987
179	215	983
180	216	978
181	216	974
182	217	969
183	217	965
184	218	961
185	218	956
186	219	952
187	221	956
188	222	953
189	222	949
190	223	945
191	224	942
192	224	939
193	225	935
194	225	931
195	226	928
196	226	924
197	227	921
198	228	917
199	228	914
200	229	910
201	229	907
202	230	904
203	231	901
204	231	898
205	232	895
206	232	892
207	233	888
208	233	885
209	234	882
210	236	884
211	237	882
212	238	880
213	238	877
214	239	875
215	240	872
216	241	869
217	241	866
218	242	865
219	243	863
220	244	861
221	244	858
222	245	855
223	246	853
224	246	850
225	247	848
226	248	846
227	249	844
228	251	845
229	251	843
230	252	840
231	253	839
232	254	836
233	255	834
234	255	832
235	256	829
236	256	827
237	258	826
238	258	824
239	259	822
240	260	819
241	261	818
242	262	816
243	262	814
244	263	812
245	266	815
246	267	814
247	267	812
248	268	810
249	269	808
250	270	807
251	271	804
252	271	802
253	272	801
254	273	798
255	274	796
256	275	795
257	275	793
258	276	791
259	277	788
260	277	786
261	278	784
262	279	782
263	279	780
264	281	779
265	281	777
266	282	775
267	283	773
268	283	770
269	284	768
270	284	766
271	285	764
272	286	762
273	287	760
274	287	758
275	288	756
276	288	754
277	289	751
278	290	749
279	290	747
280	291	745
281	292	743
282	292	741
283	295	744
284	295	742
285	296	740
286	297	738
287	297	736
288	298	734
289	299	732
290	299	730
291	300	727
292	300	726
293	301	724
294	302	722
295	302	720
296	303	718
297	304	716
298	304	714
299	305	712
300	305	710
301	306	707
302	306	705
303	307	703
304	307	701
305	309	702
306	310	700
307	311	698
308	311	696
309	312	694
310	312	692
311	313	690
312	313	688
313	314	686
314	314	684
315	315	683
316	316	681
317	316	679
318	317	677
319	318	675
320	318	673
321	319	672
322	319	670
323	320	668
324	321	667
325	321	665
326	322	663
327	322	661
328	324	662
329	325	660
330	326	658
331	326	657
332	327	655
333	327	653
334	328	651
335	328	649
336	329	648
337	329	646
338	330	644
339	331	642
340	331	641
341	332	639
342	332	637
343	333	635
344	333	634
345	334	632
346	335	630
347	335	628
348	336	627
349	336	625
350	337	623
351	339	625
352	340	624
353	342	624
354	342	623
355	343	621
356	344	620
357	344	618
358	345	617
359	346	616
360	347	615
361	348	613
362	348	612
363	349	610
364	350	609
365	350	607
366	351	606
367	352	604
368	353	604
369	355	604
370	356	603
371	356	602
372	357	601
373	358	600
374	359	598
375	360	597
376	361	596
377	361	595
378	362	593
379	363	592
380	365	593
381	366	592
382	367	591
383	368	591
384	370	591
385	371	590
386	372	590
387	373	588
388	374	588
389	375	587
390	376	586
391	377	585
392	377	583
393	378	582
394	379	581
395	380	579
396	380	578
397	381	577
398	382	576
399	383	575
400	386	576
401	387	576
402	388	575
403	389	574
404	390	573
405	391	572
406	392	572
407	393	571
408	394	569
409	394	568
410	398	571
411	400	571
412	401	571
413	402	569
414	403	568
415	403	567
416	404	565
417	405	564
418	405	562
419	406	561
420	407	559
421	407	558
422	408	556
423	409	555
424	409	554
425	410	553
426	410	551
427	411	549
428	412	548
429	412	547
430	413	545
431	413	544
432	414	542
433	415	541
434	415	539
435	416	538
436	417	537
437	417	536
438	418	534
439	418	533
440	419	531
441	419	530
442	420	528
443	420	527
444	421	525
445	421	524
446	422	522
447	423	521
448	423	519
449	424	518
450	424	517
451	425	515
452	425	514
453	426	512
454	427	511
455	427	510
456	428	509
457	428	507
458	429	506
459	430	504
460	430	503
461	431	502
462	431	500
463	432	499
464	433	498
465	433	496
466	434	495
467	434	494
468	435	492
469	435	491
470	436	490
471	436	488
472	437	487
473	437	485
474	438	484
475	439	483
476	439	482
477	440	480
478	440	479
479	441	478
480	442	477
481	442	476
482	443	474
483	444	473
484	444	472
485	445	470
486	445	469
487	446	468
488	446	467
489	447	465
490	448	464
491	448	463
492	449	461
493	449	460
494	450	459
495	451	458
496	451	457
497	452	455
498	452	454
499	453	453
500	454	452
501	454	450
502	455	449
503	455	448
504	456	447
505	456	446
506	457	444
507	458	443
508	458	442
509	459	441
510	459	440
511	460	438
512	461	437
513	461	436
514	462	435
515	462	433
516	463	432
517	463	431
518	464	430
519	464	429
520	465	427
521	466	426
522	466	425
523	467	424
524	467	423
525	468	422
526	469	421
527	469	419
528	470	418
529	470	417
530	471	416
531	472	415
532	472	414
533	473	413
534	474	412
535	474	410
536	475	409
537	475	408
538	476	407
539	477	406
540	477	405
541	478	404
542	479	403
543	479	402
544	480	400
545	480	399
546	481	398
547	481	397
548	482	396
549	482	395
550	483	393
551	484	392
552	484	391
553	485	390
554	485	389
555	486	388
556	486	387
557	487	386
558	488	385
559	488	383
560	489	382
561	489	381
562	490	380
563	490	379
564	491	378
565	491	377
566	492	376
567	493	374
568	493	373
569	494	372
570	494	371
571	495	370
572	495	369
573	496	368
574	497	367
575	497	366
576	498	365
577	498	364
578	499	363
579	499	361
580	500	360
581	501	359
582	501	358
583	502	357
584	503	356
585	503	356
586	504	354
587	505	354
588	506	353
589	506	352
590	507	351
591	507	350
592	508	348
593	509	347
594	509	346
595	510	345
596	510	344
597	511	343
598	511	342
599	512	341
600	512	340
601	513	339
602	514	338
603	514	337
604	515	336
605	515	335
606	516	334
607	517	333
608	517	332
609	518	331
610	518	330
611	519	329
612	519	328
613	520	327
614	521	326
615	521	325
616	522	324
617	523	323
618	523	322
619	524	321
620	524	320
621	525	319
622	526	318
623	526	317
624	527	316
625	528	315
626	528	314
627	529	313
628	529	312
629	530	311
630	530	310
631	531	309
632	532	308
633	532	307
634	533	306
635	534	305
636	534	304
637	535	303
638	535	302
639	536	301
640	536	300
641	537	299
642	537	298
643	538	297
644	539	296
645	539	295
646	540	294
647	541	293
648	541	292
649	542	292
650	543	291
651	543	290
652	544	289
653	544	288
654	545	287
655	546	286
656	546	285
657	547	284
658	547	283
659	548	282
660	549	281
661	549	280
662	550	279
663	551	279
664	552	278
665	552	277
666	553	276
667	554	275
668	554	274
669	555	273
670	555	272
671	556	271
672	557	270
673	557	269
674	558	268
675	559	267
676	559	267
677	560	266
678	560	265
679	561	264
680	561	263
681	562	262
682	563	261
683	563	260
684	564	259
685	564	258
686	565	257
687	565	256
688	566	255
689	567	254
690	567	253
691	568	253
692	569	252
693	569	251
694	570	250
695	571	249
696	571	248
697	572	247
698	572	246
699	573	245
700	574	244
701	574	243
702	575	243
703	575	242
704	576	241
705	577	240
706	577	239
707	578	238
708	578	237
709	579	236
710	579	235
711	580	234
712	581	233
713	581	233
714	582	232
715	582	231
716	583	230
717	583	229
718	584	228
719	584	227
720	585	226
721	586	225
722	586	224
723	587	223
724	588	223
725	588	222
726	589	221
727	590	220
728	590	219
729	591	218
730	591	217
731	592	216
732	593	216
733	593	215
734	594	214
735	594	213
736	595	212
737	596	211
738	596	210
739	597	209
740	597	208
741	598	208
742	598	207
743	599	206
744	600	205
745	600	204
746	601	203
747	601	202
748	602	201
749	603	201
750	603	200
751	604	199
752	604	198
753	605	197
754	605	196
755	606	195
756	607	194
757	607	193
758	608	193
759	608	192
760	609	191
761	609	190
762	610	189
763	611	188
764	611	187
765	612	187
766	612	186
767	613	185
768	613	184
769	614	183
770	615	182
771	615	181
772	616	180
773	616	180
774	617	179
775	617	178
776	618	177
777	618	176
778	619	175
779	620	174
780	620	174
781	621	173
782	622	172
783	622	171
784	623	170
785	623	169
786	624	168
787	631	169
788	639	171
789	642	170
790	643	169
791	643	169
792	644	168
793	645	167
794	645	166
795	646	165
796	646	164
797	647	163
798	648	163
799	648	162
800	649	161
801	649	160
802	650	159
803	651	158
804	651	157
